"package","info","sos","own","lin_pred_probs","probs_form","predict_probs"
1,1,0,"2",0.106428413725069,0.390528309275071,0.0989586835413901
2,1,1,"3",0.866156664151193,0.972078990701806,0.856473168338138
3,1,0,"1",0.352057188605996,0.745101118411114,0.333787609502293
4,0,1,"4",0.683996272420464,0.920916148089011,0.666212390497707
5,0,0,"4",0.156743321243619,0.5,0.14632047016761
6,0,0,"3",0.387996494579855,0.773279068321995,0.368923792328427
7,0,1,"1",0.878315499273707,0.974894346810825,0.869379027687545
8,1,0,"4",0.140109043806818,0.467116842483449,0.130620972312455
9,0,1,"3",0.880704503068848,0.975440259966076,0.871917894163902
10,0,0,"2",0.119620260866198,0.422292549487664,0.111340019664445
11,1,1,"4",0.654860985147306,0.910775236188176,0.636309274438626
12,1,1,"1",0.863521472922973,0.971460549344776,0.85367952983239
13,1,1,"2",0.581055157838126,0.881818871819145,0.561194575985528
14,0,1,"2",0.612736387844538,0.894870961876326,0.593326540383418
15,0,0,"1",0.382656931315058,0.7693022945321,0.363690725561374
16,1,0,"3",0.357216835159824,0.749359154178561,0.338819515048328
